免費訂閲：請勿販賣...,https://material.1989.click/v/302.mp4
維護時間：2026-7-1 #佛系維護...,https://material.1989.click/v/301.mp4
鳳凰衛視·中文「72H Replay」,#EXTVLCOPT:http-user-agent=okhttp/3.14.9
鳳凰衛視·資訊「72H Replay」,#EXTVLCOPT:http-user-agent=okhttp/3.14.9
鳳凰衛視·香港「72H Replay」,#EXTVLCOPT:http-user-agent=okhttp/3.14.9
翡翠台「24H Replay」,https://iptv.1989.click/hk/d6r4ce?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
無綫新聞台,https://iptv.1989.click/hk/4qx9v5?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
明珠台,https://iptv.1989.click/hk/y2rk9x?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
TVB Plus,https://iptv.1989.click/hk/dzxcsf?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
美亞電影台,https://iptv.1989.click/hk/747djy?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
PopC,https://iptv.1989.click/hk/7bpe79?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
ViuTV,https://iptv.1989.click/hk/r799dp?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
ViuTVsix,https://iptv.1989.click/hk/m6d82j?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
Now直播台,https://iptv.1989.click/hk/vd72sb?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
Now新聞台,https://iptv.1989.click/hk/mqjg6c?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
Now財經台,https://iptv.1989.click/hk/xda59j?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
Now Sports 精選,https://iptv.1989.click/hk/drtddk?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
Now Sports 617,https://iptv.1989.click/hkg/e2hcg2?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
Now Sports 618,https://iptv.1989.click/hkg/xb8s2w?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
電台·雷霆881,https://iptv.1989.click/hkg/eutwbz?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
電台·叱咤903,https://iptv.1989.click/hkg/uahgnf?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
電台·AM864,https://iptv.1989.click/hkg/52865n?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd-3-v-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd-3-v-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd-3-v-fhd.m3u8
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK 35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
睛彩广场舞「Relay」,https://iptv.1989.click/cn/qz65m7?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
睛彩青少「Relay」,https://iptv.1989.click/cn/s9z55b?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
睛彩竞技「Relay」,https://iptv.1989.click/cn/vefaqp?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
睛彩篮球「Relay」,https://iptv.1989.click/cn/rp9nh5?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 1 綜合「Relay」,https://iptv.1989.click/cn/rub68m?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 2 財經「Relay」,https://iptv.1989.click/cn/zsg4d3?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 3 綜藝「Relay」,https://iptv.1989.click/cn/8d3atr?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 4 中文國際「Relay」,https://iptv.1989.click/cn/gntbxd?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 5 體育「Relay」,https://iptv.1989.click/cn/eyfyu4?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 5+ 體育賽事「Relay」,https://iptv.1989.click/cn/zk7au4?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 6 電影「Relay」,https://iptv.1989.click/cn/vqvm6g?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 7 國防軍事「Relay」,https://iptv.1989.click/cn/5rn3g3?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 8 電視劇「Relay」,https://iptv.1989.click/cn/bqhtnd?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 9 記錄「Relay」,https://iptv.1989.click/cn/nnvjy2?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 10 科教「Relay」,https://iptv.1989.click/cn/dtr4ha?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 11 戲曲「Relay」,https://iptv.1989.click/cn/cm3qn3?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 12 社會與法「Relay」,https://iptv.1989.click/cn/xczw6f?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
CCTV 13 新聞「Relay」,https://iptv.1989.click/cn/msqqgu?token=9b3bacb1225c02bd5a705d4d152669ce21f30c73071f6008
